Município,Participação PIB
Novo Oriente do Piauí (PI),"5,08"
Novo Santo Antônio (PI),"1,29"
Oeiras (PI),"16,97"
Olho D'Água do Piauí (PI),"1,86"
Padre Marcos (PI),"1,63"
Paes Landim (PI),"0,97"
Pajeú do Piauí (PI),3
Palmeira do Piauí (PI),"4,34"
Palmeirais (PI),9
Paquetá (PI),"1,28"
Parnaguá (PI),"8,98"
Parnaíba (PI),"60,95"
Passagem Franca do Piauí (PI),"3,16"
Patos do Piauí (PI),"1,42"
Pau D'Arco do Piauí (PI),"0,13"
Paulistana (PI),"5,89"
Pavussu (PI),"1,39"
Pedro II (PI),16
Pedro Laurentino (PI),"0,69"
Nova Santa Rita (PI),"0,97"
Picos (PI),"56,36"
Pimenteiras (PI),"9,33"
Pio IX (PI),"33,57"
Piracuruca (PI),"7,46"
Piripiri (PI),"25,37"
Porto (PI),"3,28"
Porto Alegre do Piauí (PI),"4,58"
Prata do Piauí (PI),"2,41"
Queimada Nova (PI),"5,58"
Redenção do Gurguéia (PI),"3,01"
Regeneração (PI),"17,17"
Riacho Frio (PI),"3,49"
Ribeira do Piauí (PI),"4,78"
Ribeiro Gonçalves (PI),"11,8"
Rio Grande do Piauí (PI),"2,27"
Santa Cruz do Piauí (PI),"1,77"
Santa Cruz dos Milagres (PI),"3,97"
Santa Filomena (PI),"10,45"
Santa Luz (PI),"1,92"
Santana do Piauí (PI),"1,19"
Santa Rosa do Piauí (PI),"1,46"
Santo Antônio de Lisboa (PI),"11,9"
Santo Antônio dos Milagres (PI),"1,17"
Santo Inácio do Piauí (PI),"0,89"
São Braz do Piauí (PI),"2,25"
São Félix do Piauí (PI),"2,8"
São Francisco de Assis do Piauí (PI),"1,22"
São Francisco do Piauí (PI),"2,16"
São Gonçalo do Gurguéia (PI),"1,68"
São Gonçalo do Piauí (PI),"3,68"
São João da Canabrava (PI),"1,43"
São João da Fronteira (PI),"1,25"
São João da Serra (PI),"2,47"
São João da Varjota (PI),"1,06"
São João do Arraial (PI),"1,89"
São João do Piauí (PI),"9,4"
São José do Divino (PI),"1,31"
São José do Peixe (PI),"1,58"
São José do Piauí (PI),"1,98"
São Julião (PI),"9,86"
São Lourenço do Piauí (PI),"2,59"
São Luis do Piauí (PI),"0,74"
São Miguel da Baixa Grande (PI),"2,38"
São Miguel do Fidalgo (PI),"1,75"
São Miguel do Tapuio (PI),"6,77"
São Pedro do Piauí (PI),"8,75"
São Raimundo Nonato (PI),"32,33"
Sebastião Barros (PI),"3,52"
Sebastião Leal (PI),"29,83"
Sigefredo Pacheco (PI),"3,24"
Simões (PI),"9,56"
Simplício Mendes (PI),"4,02"
Socorro do Piauí (PI),"0,9"
Sussuapara (PI),"2,23"
Tamboril do Piauí (PI),"1,74"
Tanque do Piauí (PI),"0,96"
Teresina (PI),"91,7"
União (PI),"1,61"
Uruçuí (PI),"47,75"
Valença do Piauí (PI),"25,27"
Várzea Branca (PI),"2,54"
Várzea Grande (PI),"3,58"
Vera Mendes (PI),"0,68"
Vila Nova do Piauí (PI),"0,82"
Wall Ferraz (PI),"1,1"
Abaiara (CE),8
Acarape (CE),"7,93"
Acaraú (CE),"19,37"
Acopiara (CE),"22,45"
Aiuaba (CE),"9,8"
Alcântaras (CE),"43,17"
Altaneira (CE),"12,84"
Alto Santo (CE),"3,82"
Amontada (CE),"18,67"
Antonina do Norte (CE),"6,97"
Apuiarés (CE),"12,57"
Aquiraz (CE),"3,57"
Aracati (CE),"67,91"
Aracoiaba (CE),"11,73"
Ararendá (CE),"3,91"
Araripe (CE),"20,64"
Aratuba (CE),"6,68"
Arneiroz (CE),"4,54"
Assaré (CE),"23,55"
Aurora (CE),"22,21"
Baixio (CE),"10,83"
Banabuiú (CE),"6,85"
Barbalha (CE),"13,94"
Barreira (CE),"30,57"
Barro (CE),"24,79"
Barroquinha (CE),"2,53"
Baturité (CE),"19,74"
Beberibe (CE),"43,97"
Bela Cruz (CE),"6,12"
Boa Viagem (CE),"14,2"
Brejo Santo (CE),"55,43"
Camocim (CE),"15,94"
Campos Sales (CE),"29,02"
Canindé (CE),"65,92"
Capistrano (CE),"7,79"
Caridade (CE),"13,47"
Cariré (CE),"2,62"
Caririaçu (CE),"43,54"
Cariús (CE),"15,97"
Carnaubal (CE),"3,33"
Cascavel (CE),"44,61"
Catarina (CE),"9,97"
Catunda (CE),"12,04"
Caucaia (CE),"9,64"
Cedro (CE),"7,48"
Chaval (CE),"2,09"
Choró (CE),"4,71"
Chorozinho (CE),"33,15"
Coreaú (CE),"25,73"
Crateús (CE),"34,92"
Crato (CE),"19,39"
Croatá (CE),"4,48"
Cruz (CE),"7,08"
Deputado Irapuan Pinheiro (CE),"4,01"
Ereré (CE),"8,65"
Eusébio (CE),"3,31"
Farias Brito (CE),"34,79"
Forquilha (CE),"4,13"
Fortaleza (CE),68
Fortim (CE),"12,43"
Frecheirinha (CE),"31,54"
General Sampaio (CE),"9,03"
Graça (CE),"1,76"
Granja (CE),"8,91"
Granjeiro (CE),"8,83"
Groaíras (CE),"1,5"
Guaiúba (CE),"0,21"
Guaraciaba do Norte (CE),"13,35"
Guaramiranga (CE),"3,54"
Hidrolândia (CE),"19,88"
Horizonte (CE),"60,88"
Ibaretama (CE),"3,48"
Ibiapina (CE),"6,95"
Ibicuitinga (CE),"2,06"
Icapuí (CE),"16,36"
Icó (CE),"22,3"
Iguatu (CE),"57,59"
Independência (CE),"11,25"
Ipaporanga (CE),"4,18"
Ipaumirim (CE),23
Ipu (CE),"32,33"
Ipueiras (CE),"20,4"
Iracema (CE),"20,92"
Irauçuba (CE),"2,99"
Itaiçaba (CE),"3,3"
Itaitinga (CE),"1,17"
Itapajé (CE),"49,35"
Itapipoca (CE),"50,05"
Itapiúna (CE),"7,5"
Itarema (CE),"14,56"
Itatira (CE),"12,59"
Jaguaretama (CE),"24,06"
Jaguaribara (CE),"16,35"
Jaguaribe (CE),"59,58"
Jaguaruana (CE),"9,33"
Jardim (CE),"3,05"
Jati (CE),"8,8"
Jijoca de Jericoacoara (CE),"10,47"
Juazeiro do Norte (CE),53
Jucás (CE),"28,19"
Lavras da Mangabeira (CE),"55,04"
Limoeiro do Norte (CE),"23,42"
Madalena (CE),"4,6"
Maracanaú (CE),"11,42"
Maranguape (CE),"1,53"
Marco (CE),"7,42"
Martinópole (CE),"1,83"
Massapê (CE),"5,13"
Mauriti (CE),"53,01"
Meruoca (CE),"56,83"
Milagres (CE),"19,48"
Milhã (CE),"7,76"
Miraíma (CE),"1,53"
Missão Velha (CE),"5,35"
Mombaça (CE),"17,77"
Monsenhor Tabosa (CE),"5,89"
Morada Nova (CE),"21,01"
Moraújo (CE),"8,64"
Morrinhos (CE),"3,67"
Mucambo (CE),"1,78"
Mulungu (CE),"5,45"
Nova Olinda (CE),"1,69"
Nova Russas (CE),"12,35"
Novo Oriente (CE),"10,38"
Ocara (CE),"36,28"
Orós (CE),"6,62"
Pacajus (CE),"39,12"
Pacatuba (CE),"1,14"
Pacoti (CE),"6,53"
Pacujá (CE),"0,81"
Palhano (CE),"1,63"
Palmácia (CE),"5,07"
Paracuru (CE),"5,72"
Paraipaba (CE),"5,5"
Parambu (CE),"18,67"
Paramoti (CE),"8,02"
Pedra Branca (CE),"15,5"
Penaforte (CE),"8,29"
Pentecoste (CE),"50,35"
Pereiro (CE),"60,06"
Pindoretama (CE),"11,41"
Piquet Carneiro (CE),"6,44"
Pires Ferreira (CE),"5,24"
Poranga (CE),"6,8"
Porteiras (CE),"1,93"
Potengi (CE),"10,98"
Potiretama (CE),"10,37"
Quiterianópolis (CE),"6,77"
Quixadá (CE),"29,23"
Quixelô (CE),"6,01"
Quixeramobim (CE),"36,93"
Quixeré (CE),"10,48"
Redenção (CE),"18,05"
Reriutaba (CE),"11,86"
Russas (CE),"19,06"
Saboeiro (CE),"10,98"
Salitre (CE),"15,81"
Santana do Acaraú (CE),"3,8"
Santana do Cariri (CE),"1,65"
Santa Quitéria (CE),"68,08"
São Benedito (CE),"12,51"
São Gonçalo do Amarante (CE),"88,78"
São João do Jaguaribe (CE),"1,78"
São Luís do Curu (CE),"13,83"
Senador Pompeu (CE),"14,01"
Senador Sá (CE),"0,85"
Sobral (CE),"73,11"
Solonópole (CE),"12,06"
Tabuleiro do Norte (CE),"7,41"
Tamboril (CE),"10,35"
Tarrafas (CE),"7,56"
Tauá (CE),"46,03"
Tejuçuoca (CE),"14,23"
Tianguá (CE),"34,56"
Trairi (CE),"31,28"
Tururu (CE),"11,46"
Ubajara (CE),"12,8"
Umari (CE),"11,13"
Umirim (CE),"14,34"
Uruburetama (CE),"24,85"
Uruoca (CE),"34,09"
Varjota (CE),"23,37"
Várzea Alegre (CE),"41,31"
Viçosa do Ceará (CE),"12,03"
Acari (RN),7
Açu (RN),"37,61"
Afonso Bezerra (RN),"18,09"
Água Nova (RN),"4,51"
Alexandria (RN),"8,77"
Almino Afonso (RN),"6,25"
Alto do Rodrigues (RN),"15,79"
Angicos (RN),"23,57"
Antônio Martins (RN),"8,18"
Apodi (RN),"43,18"
Areia Branca (RN),"8,6"
Arês (RN),"13,6"
Campo Grande (RN),"18,79"
Baía Formosa (RN),"11,44"
Baraúna (RN),"6,86"
Barcelona (RN),"2,54"
Bento Fernandes (RN),"4,02"
Bodó (RN),"24,97"
Bom Jesus (RN),"3,54"
Brejinho (RN),"4,52"
Caiçara do Norte (RN),"2,82"
Caiçara do Rio do Vento (RN),"7,91"
Caicó (RN),"71,39"
Campo Redondo (RN),"5,92"
Canguaretama (RN),"21,31"
Caraúbas (RN),"22,74"
Carnaúba dos Dantas (RN),"5,84"
Carnaubais (RN),"5,41"
Ceará-Mirim (RN),"16,03"
Cerro Corá (RN),"12,23"
Coronel Ezequiel (RN),"2,91"
Coronel João Pessoa (RN),"6,29"
Cruzeta (RN),"6,07"
Currais Novos (RN),"39,65"
Doutor Severiano (RN),"10,26"
Parnamirim (RN),"21,66"
Encanto (RN),"8,13"
Equador (RN),"4,04"
Espírito Santo (RN),"3,43"
Extremoz (RN),"1,81"
Felipe Guerra (RN),"10,58"
Fernando Pedroza (RN),"5,11"
Florânia (RN),"10,5"
Francisco Dantas (RN),"1,91"
Frutuoso Gomes (RN),"5,61"
Galinhos (RN),"4,09"
Goianinha (RN),"19,23"
Governador Dix-Sept Rosado (RN),"23,5"
Grossos (RN),"1,45"
Guamaré (RN),"51,34"
Ielmo Marinho (RN),"4,56"
Ipanguaçu (RN),"5,04"
Ipueira (RN),"1,79"
Itajá (RN),"2,55"
Itaú (RN),"4,29"
Jaçanã (RN),"4,78"
Jandaíra (RN),"4,62"
Janduís (RN),"15,07"
Januário Cicco (RN),"2,75"
Japi (RN),"2,85"
Jardim de Angicos (RN),"8,42"
Jardim de Piranhas (RN),"10,92"
Jardim do Seridó (RN),"10,25"
João Câmara (RN),"57,78"
João Dias (RN),"3,49"
José da Penha (RN),"3,92"
Jucurutu (RN),"8,09"
Jundiá (RN),"1,37"
Lagoa d'Anta (RN),"2,3"
Lagoa de Pedras (RN),"2,64"
Lagoa de Velhos (RN),"2,12"
Lagoa Nova (RN),"23,44"
Lagoa Salgada (RN),"3,06"
Lajes (RN),"21,71"
Lajes Pintadas (RN),"2,86"
Lucrécia (RN),"6,43"
Luís Gomes (RN),"11,47"
Macaíba (RN),"29,25"
Macau (RN),"27,94"
Major Sales (RN),"6,27"
Marcelino Vieira (RN),"4,82"
Martins (RN),"13,51"
Maxaranguape (RN),"6,01"
Messias Targino (RN),"9,91"
Montanhas (RN),"4,58"
Monte Alegre (RN),"8,8"
Monte das Gameleiras (RN),"1,79"
Mossoró (RN),"74,15"
Natal (RN),"76,53"
Nísia Floresta (RN),"7,59"
Nova Cruz (RN),"18,17"
Olho d'Água do Borges (RN),"5,93"
Ouro Branco (RN),"3,04"
Paraná (RN),"2,56"
Paraú (RN),"9,86"
Parazinho (RN),"27,58"
Parelhas (RN),"18,19"
Rio do Fogo (RN),"8,26"
Passa e Fica (RN),"4,94"
Passagem (RN),"1,5"
Patu (RN),"20,09"
Santa Maria (RN),"2,53"
Pau dos Ferros (RN),"41,28"
Pedra Grande (RN),"13,06"
Pedra Preta (RN),"4,73"
Pedro Avelino (RN),"10,47"
Pedro Velho (RN),"6,11"
Pendências (RN),"19,41"
Pilões (RN),"2,43"
Poço Branco (RN),6
Portalegre (RN),"4,59"
Porto do Mangue (RN),"3,83"
Serra Caiada (RN),"3,54"
Pureza (RN),"7,54"
Rafael Fernandes (RN),"3,1"
Rafael Godeiro (RN),"5,42"
Riacho da Cruz (RN),"2,18"
Riacho de Santana (RN),"5,68"
Riachuelo (RN),"6,23"
Rodolfo Fernandes (RN),"3,44"
Tibau (RN),"1,06"
Ruy Barbosa (RN),"7,02"
Santa Cruz (RN),"34,26"
Santana do Matos (RN),"12,81"
Santana do Seridó (RN),"1,79"
Santo Antônio (RN),"9,81"
São Bento do Norte (RN),"13,81"
São Bento do Trairí (RN),"2,53"
São Fernando (RN),"3,26"
São Francisco do Oeste (RN),"3,17"
São Gonçalo do Amarante (RN),"30,48"
São João do Sabugi (RN),"4,33"
São José de Mipibu (RN),"16,65"
São José do Campestre (RN),"6,92"
São José do Seridó (RN),"4,13"
São Miguel (RN),"41,75"
São Miguel do Gostoso (RN),"21,94"
São Paulo do Potengi (RN),"7,51"
São Pedro (RN),"1,81"
São Rafael (RN),"2,27"
São Tomé (RN),"6,19"
São Vicente (RN),"6,7"
Senador Elói de Souza (RN),"1,96"
Senador Georgino Avelino (RN),"4,1"
Serra de São Bento (RN),"3,18"
Serra do Mel (RN),"7,89"
Serra Negra do Norte (RN),"6,08"
Serrinha (RN),"2,33"
Serrinha dos Pintos (RN),"6,21"
Severiano Melo (RN),"3,67"
Sítio Novo (RN),"2,98"
Taboleiro Grande (RN),"1,89"
Taipu (RN),"6,91"
Tangará (RN),"11,17"
Tenente Ananias (RN),"6,61"
Tenente Laurentino Cruz (RN),"9,35"
Tibau do Sul (RN),"14,63"
Timbaúba dos Batistas (RN),"2,23"
Touros (RN),"36,28"
Triunfo Potiguar (RN),"8,17"
Umarizal (RN),"18,88"
Upanema (RN),"38,2"
Várzea (RN),"1,83"
Venha-Ver (RN),"5,64"
Vera Cruz (RN),"4,33"
Viçosa (RN),"1,35"
Vila Flor (RN),"1,56"
Água Branca (PB),"7,73"
Aguiar (PB),7
Alagoa Grande (PB),"20,59"
Alagoa Nova (PB),"22,99"
Alagoinha (PB),"4,65"
Alcantil (PB),"6,19"
Algodão de Jandaíra (PB),"2,02"
Alhandra (PB),"70,05"
São João do Rio do Peixe (PB),"8,94"
Amparo (PB),"1,73"
Aparecida (PB),"3,77"
Araçagi (PB),"6,24"
Arara (PB),"7,94"
Araruna (PB),"20,36"
Areia (PB),"17,65"
Areia de Baraúnas (PB),"1,14"
Areial (PB),"8,56"
Aroeiras (PB),"33,84"
Assunção (PB),"2,86"
Baía da Traição (PB),"4,89"
Bananeiras (PB),"19,13"
Baraúna (PB),"5,97"
Barra de Santana (PB),"10,2"
Barra de Santa Rosa (PB),"10,67"
Barra de São Miguel (PB),"9,53"
Bayeux (PB),"4,42"
Belém (PB),"7,32"
Belém do Brejo do Cruz (PB),"4,63"
Bernardino Batista (PB),"1,59"
Boa Ventura (PB),"5,38"
Boa Vista (PB),"1,73"
Bom Jesus (PB),"1,27"
Bom Sucesso (PB),"3,21"
Bonito de Santa Fé (PB),"3,83"
Boqueirão (PB),"28,84"
Igaracy (PB),"7,08"
Borborema (PB),"4,75"
Brejo do Cruz (PB),"8,67"
Brejo dos Santos (PB),"3,79"
Caaporã (PB),"9,62"
Cabaceiras (PB),"13,09"
Cabedelo (PB),"10,21"
Cachoeira dos Índios (PB),"4,95"
Cacimba de Areia (PB),"1,7"
Cacimba de Dentro (PB),"15,35"
Cacimbas (PB),"5,64"
Caiçara (PB),"2,2"
Cajazeiras (PB),"48,83"
Cajazeirinhas (PB),"1,5"
Caldas Brandão (PB),"5,63"
Camalaú (PB),"4,22"
Campina Grande (PB),"86,88"
Capim (PB),"3,43"
Caraúbas (PB),"4,74"
Carrapateira (PB),"1,23"
Casserengue (PB),"6,98"
Catingueira (PB),"6,16"
Catolé do Rocha (PB),"29,77"
Caturité (PB),"6,93"
Conceição (PB),"21,78"
Condado (PB),"3,24"
Conde (PB),"4,17"
Congo (PB),"3,63"
Coremas (PB),"29,09"
Coxixola (PB),"1,41"
Cruz do Espírito Santo (PB),"11,34"
Cubati (PB),"9,21"
Cuité (PB),"15,59"
Cuitegi (PB),"2,24"
Cuité de Mamanguape (PB),"3,36"
Curral de Cima (PB),"2,52"
Curral Velho (PB),"2,79"
Damião (PB),"3,56"
Desterro (PB),"6,11"
Vista Serrana (PB),"1,41"
Diamante (PB),"6,18"
Dona Inês (PB),"9,35"
Duas Estradas (PB),"1,51"
Emas (PB),"4,85"
Esperança (PB),"69,4"
Fagundes (PB),"0,88"
Frei Martinho (PB),"3,63"
Gado Bravo (PB),"15,35"
Guarabira (PB),"60,1"
Gurinhém (PB),"11,37"
Gurjão (PB),"4,31"
Ibiara (PB),"6,02"
Imaculada (PB),"8,26"
Ingá (PB),"14,68"
Itabaiana (PB),"25,29"
Itaporanga (PB),"35,55"
Itapororoca (PB),"9,36"
Itatuba (PB),"11,69"
Jacaraú (PB),"7,49"
Jericó (PB),"4,49"
João Pessoa (PB),"72,01"
Juarez Távora (PB),"5,51"
Juazeirinho (PB),"25,23"
Junco do Seridó (PB),"12,93"
Juripiranga (PB),"6,96"
Juru (PB),"7,33"
Lagoa (PB),"3,02"
Lagoa de Dentro (PB),"2,8"
Lagoa Seca (PB),"2,59"
Lastro (PB),"1,06"
Livramento (PB),"4,12"
Logradouro (PB),"1,63"
Lucena (PB),"0,72"
Mãe d'Água (PB),"1,68"
Malta (PB),"2,85"
Mamanguape (PB),"36,51"
Manaíra (PB),"8,52"
Marcação (PB),"4,34"
Mari (PB),"14,34"
Marizópolis (PB),"2,94"
Massaranduba (PB),"1,09"
Mataraca (PB),"10,91"
Matinhas (PB),"3,71"
Mato Grosso (PB),"1,87"
Maturéia (PB),"5,19"
Mogeiro (PB),"12,38"
Montadas (PB),"7,56"
Monte Horebe (PB),"1,91"
Monteiro (PB),"37,42"
Mulungu (PB),"3,3"
Natuba (PB),"19,23"
Nazarezinho (PB),"2,36"
Nova Floresta (PB),"7,04"
Nova Olinda (PB),"6,74"
Nova Palmeira (PB),"5,87"
Olho d'Água (PB),"7,21"
Olivedos (PB),"3,08"
Ouro Velho (PB),"2,25"
Parari (PB),"1,27"
Passagem (PB),"1,26"
Patos (PB),"86,78"
Paulista (PB),"5,62"
Pedra Branca (PB),"3,9"
Pedra Lavrada (PB),"9,6"
Pedras de Fogo (PB),"11,47"
Piancó (PB),"24,04"
Picuí (PB),"25,57"
Pilar (PB),"7,22"
Pilões (PB),"6,55"
Pilõezinhos (PB),"1,72"
Pirpirituba (PB),"3,19"
Pitimbu (PB),"8,87"
Pocinhos (PB),"20,13"
Poço Dantas (PB),"1,59"
Poço de José de Moura (PB),"1,86"
Pombal (PB),"16,66"
Prata (PB),"3,81"
Princesa Isabel (PB),"22,38"
Puxinanã (PB),"1,15"
Queimadas (PB),"5,07"
Quixaba (PB),"1,16"
Remígio (PB),"12,83"
Pedro Régis (PB),"2,59"
Riachão (PB),"3,64"
Riachão do Bacamarte (PB),"3,77"
Riachão do Poço (PB),"3,33"
Riacho de Santo Antônio (PB),"3,43"
Riacho dos Cavalos (PB),"5,45"
Rio Tinto (PB),"14,6"
Salgadinho (PB),"4,48"
Salgado de São Félix (PB),"9,69"
Santa Cecília (PB),"13,22"
Santa Cruz (PB),"2,22"
Santa Helena (PB),"2,46"
Santa Inês (PB),"3,83"
Santa Luzia (PB),"49,82"
Santana de Mangueira (PB),"5,32"
Santana dos Garrotes (PB),"7,82"
Joca Claudino (PB),"1,31"
Santa Rita (PB),"8,47"
Santa Teresinha (PB),"2,49"
Santo André (PB),"3,3"
São Bento (PB),"33,39"
São Bentinho (PB),"1,97"
São Domingos do Cariri (PB),"3,22"
São Domingos (PB),"1,3"
São Francisco (PB),"1,4"
São João do Cariri (PB),"6,21"
São João do Tigre (PB),"2,41"
São José da Lagoa Tapada (PB),"2,58"
São José de Caiana (PB),"5,79"
São José de Espinharas (PB),"2,39"
São José dos Ramos (PB),"5,14"
São José de Piranhas (PB),"9,13"
São José de Princesa (PB),"2,86"
São José do Bonfim (PB),"1,41"
São José do Brejo do Cruz (PB),"1,71"
São José do Sabugi (PB),"16,75"
São José dos Cordeiros (PB),"2,17"
São Mamede (PB),11
São Miguel de Taipu (PB),"4,9"
São Sebastião de Lagoa de Roça (PB),"14,47"
São Sebastião do Umbuzeiro (PB),"2,38"
Sapé (PB),"40,08"
São Vicente do Seridó (PB),"10,78"
Serra Branca (PB),"8,7"
Serra da Raiz (PB),"1,24"
Serra Grande (PB),"3,46"
Serra Redonda (PB),"0,6"
Serraria (PB),"4,64"
Sertãozinho (PB),"1,84"
Sobrado (PB),"6,68"
Solânea (PB),"35,19"
Soledade (PB),"14,39"
Sossêgo (PB),"2,74"
Sousa (PB),"47,23"
Sumé (PB),"11,83"
Tacima (PB),"9,14"
Taperoá (PB),"8,2"
Tavares (PB),"11,76"
Teixeira (PB),"14,21"
Tenório (PB),"4,14"
Triunfo (PB),"3,47"
Uiraúna (PB),"7,63"
Umbuzeiro (PB),"18,36"
Várzea (PB),"5,03"
Vieirópolis (PB),"1,89"
Zabelê (PB),"1,59"
Abreu e Lima (PE),"1,94"
Afogados da Ingazeira (PE),"12,28"
Afrânio (PE),"2,06"
Agrestina (PE),"13,9"
Água Preta (PE),"3,4"
Águas Belas (PE),"19,91"
Alagoinha (PE),"0,78"
Aliança (PE),"2,24"
Altinho (PE),"8,77"
Amaraji (PE),"3,85"
Angelim (PE),"1,91"
Araçoiaba (PE),"2,56"
Araripina (PE),"32,88"
Arcoverde (PE),"41,23"
Barra de Guabiraba (PE),"5,79"
Barreiros (PE),"6,6"
Belém de Maria (PE),"1,3"
Belém do São Francisco (PE),"12,02"
Belo Jardim (PE),"14,89"
Betânia (PE),"3,57"
Bezerros (PE),"5,18"
Bodocó (PE),"8,19"
Bom Conselho (PE),"8,66"
Bom Jardim (PE),"12,04"
Bonito (PE),"21,24"
Brejão (PE),"2,47"
Brejinho (PE),"1,9"
Brejo da Madre de Deus (PE),"2,48"
Buenos Aires (PE),"0,72"
Buíque (PE),"27,25"
Cabo de Santo Agostinho (PE),"47,86"
Cabrobó (PE),"4,33"
Cachoeirinha (PE),"1,37"
Caetés (PE),"5,7"
Calçado (PE),"1,55"
Calumbi (PE),"1,14"
Camaragibe (PE),"2,51"
Camocim de São Félix (PE),"7,14"
Camutanga (PE),"1,55"
Canhotinho (PE),"3,41"
Capoeiras (PE),"1,31"
Carnaíba (PE),"4,39"
Carnaubeira da Penha (PE),"2,74"
Carpina (PE),"9,47"
Caruaru (PE),"46,64"
Casinhas (PE),"2,22"
Catende (PE),"4,72"
Cedro (PE),"6,01"
Chã de Alegria (PE),"2,79"
Chã Grande (PE),"4,15"
Condado (PE),"1,36"
Correntes (PE),"2,58"
Cortês (PE),"1,59"
Cumaru (PE),"3,58"
Cupira (PE),"11,17"
Custódia (PE),"20,14"
Dormentes (PE),"2,41"
Escada (PE),"17,1"
Exu (PE),"8,4"
Feira Nova (PE),"8,12"
Fernando de Noronha (PE),100
Ferreiros (PE),"0,72"
Flores (PE),"4,37"
Floresta (PE),"14,61"
Frei Miguelinho (PE),"2,88"
Gameleira (PE),"3,59"
Garanhuns (PE),"41,41"
Glória do Goitá (PE),"9,15"
Goiana (PE),"57,85"
Granito (PE),"2,03"
Gravatá (PE),"7,32"
Iati (PE),"2,64"
Ibimirim (PE),"11,2"
Ibirajuba (PE),"3,37"
Igarassu (PE),"54,96"
Iguaracy (PE),"2,55"
Inajá (PE),"6,68"
Ingazeira (PE),"1,14"
Ipojuca (PE),"52,14"
Ipubi (PE),"8,8"
Itacuruba (PE),"2,34"
Itaíba (PE),"14,07"
Ilha de Itamaracá (PE),"4,74"
Itambé (PE),"2,84"
Itapetim (PE),"3,17"
Itapissuma (PE),"37,74"
Itaquitinga (PE),"0,87"
Jaboatão dos Guararapes (PE),"18,17"
Jaqueira (PE),"1,46"
Jataúba (PE),"0,83"
Jatobá (PE),"5,05"
João Alfredo (PE),"10,39"
Joaquim Nabuco (PE),"2,37"
Jucati (PE),"1,74"
Jupi (PE),"2,88"
Jurema (PE),"1,79"
Lagoa do Carro (PE),"1,63"
Lagoa de Itaenga (PE),"2,62"
Lagoa do Ouro (PE),"1,87"
Lagoa dos Gatos (PE),"5,34"
Lagoa Grande (PE),"4,48"
Lajedo (PE),"7,88"
Limoeiro (PE),"27,5"
Macaparana (PE),"1,54"
Machados (PE),"7,09"
Manari (PE),"4,72"
Maraial (PE),"1,21"
Mirandiba (PE),"7,83"
Moreno (PE),"1,01"
Nazaré da Mata (PE),"3,74"
Olinda (PE),"6,52"
Orobó (PE),"13,08"
Orocó (PE),"1,83"
Ouricuri (PE),"20,17"
Palmares (PE),"12,1"
Palmeirina (PE),"1,08"
Panelas (PE),"9,04"
Paranatama (PE),"3,85"
Parnamirim (PE),"10,21"
Passira (PE),"8,68"
Paudalho (PE),"5,03"
Paulista (PE),"6,3"
Pedra (PE),"15,21"
Pesqueira (PE),"4,68"
Petrolândia (PE),"54,99"
Petrolina (PE),"78,42"
Poção (PE),"0,55"
Pombos (PE),"8,79"
Primavera (PE),"3,82"
Quipapá (PE),"2,52"
Quixaba (PE),"1,52"
Recife (PE),"61,92"
Riacho das Almas (PE),"1,4"
Ribeirão (PE),"7,55"
Rio Formoso (PE),"4,97"
Sairé (PE),"6,94"
Salgadinho (PE),"2,65"
Salgueiro (PE),48
Saloá (PE),"2,3"
Sanharó (PE),"1,34"
Santa Cruz (PE),"3,45"
Santa Cruz da Baixa Verde (PE),"2,57"
Santa Cruz do Capibaribe (PE),"42,19"
Santa Filomena (PE),"2,89"
Santa Maria da Boa Vista (PE),"5,53"
Santa Maria do Cambucá (PE),"2,68"
Santa Terezinha (PE),"2,6"
São Benedito do Sul (PE),"1,53"
São Bento do Una (PE),8
São Caitano (PE),"2,41"
São João (PE),"5,25"
São Joaquim do Monte (PE),"7,31"
São José da Coroa Grande (PE),"3,81"
São José do Belmonte (PE),"16,36"
São José do Egito (PE),10
São Lourenço da Mata (PE),"1,63"
São Vicente Férrer (PE),"6,87"
Serra Talhada (PE),"38,37"
Serrita (PE),"7,72"
Sertânia (PE),"12,46"
Sirinhaém (PE),"9,46"
Moreilândia (PE),"2,35"
Solidão (PE),"1,28"
Surubim (PE),"20,06"
Tabira (PE),"7,14"
Tacaimbó (PE),"0,8"
Tacaratu (PE),"8,27"
Tamandaré (PE),"5,18"
Taquaritinga do Norte (PE),"7,33"
Terezinha (PE),"1,02"
Terra Nova (PE),"0,93"
Timbaúba (PE),"4,05"
Toritama (PE),"16,75"
Tracunhaém (PE),"0,96"
Trindade (PE),"10,83"
Triunfo (PE),"3,57"
Tupanatinga (PE),"11,28"
Tuparetama (PE),"2,02"
Venturosa (PE),"12,28"
Verdejante (PE),"3,88"
Vertente do Lério (PE),"1,62"
Vertentes (PE),"4,26"
Vicência (PE),"2,82"
Vitória de Santo Antão (PE),"75,13"
Xexéu (PE),"1,85"
Água Branca (AL),"19,42"
Anadia (AL),"3,51"
Arapiraca (AL),"59,05"
Atalaia (AL),"21,36"
Barra de Santo Antônio (AL),"0,76"
Barra de São Miguel (AL),"0,69"
Batalha (AL),"17,98"
Belém (AL),"7,13"
Belo Monte (AL),"11,83"
Boca da Mata (AL),"7,09"
Branquinha (AL),"11,04"
Cacimbinhas (AL),"5,23"
Cajueiro (AL),"2,96"
